NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
networking                  pod/external-dns-unifi-6fb5745878-l2tz2                               0/2     ContainerStatusUnknown        1 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-lkqzt                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-lsrxc                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-m492m                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-m5q7x                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-mbccq                               0/2     ContainerStatusUnknown        2 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-n4948                               0/2     ContainerStatusUnknown        0                 9d
networking                  pod/external-dns-unifi-6fb5745878-n6v4v                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-nrrxf                               0/2     ContainerStatusUnknown        0                 9d
networking                  pod/external-dns-unifi-6fb5745878-p7ll8                               0/2     ContainerStatusUnknown        1 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-p8gsv                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-pbspb                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-pgnlh                               0/2     Error                         1 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-ptwdw                               0/2     ContainerStatusUnknown        1 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-q68wm                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-q7xjr                               0/2     ContainerStatusUnknown        4 (8d ago)        8d
networking                  pod/external-dns-unifi-6fb5745878-qb8ln                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-qh9dq                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-qsnhh                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-qt578                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-r2hsw                               0/2     Error                         7                 8d
networking                  pod/external-dns-unifi-6fb5745878-r6n49                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-r9zqj                               0/2     ContainerStatusUnknown        7 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-rnjtk                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-s2vnr                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-s97gf                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-sw6dk                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-t4cn8                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-t89x2                               0/2     ContainerStatusUnknown        0                 9d
networking                  pod/external-dns-unifi-6fb5745878-t8xzr                               0/2     Error                         0                 8d
networking                  pod/external-dns-unifi-6fb5745878-tcp6q                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-tltqr                               0/2     ContainerStatusUnknown        3                 9d
networking                  pod/external-dns-unifi-6fb5745878-tpbt6                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-tqdpv                               0/2     Error                         2                 8d
networking                  pod/external-dns-unifi-6fb5745878-twqjn                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-tzjfv                               0/2     ContainerStatusUnknown        69 (9d ago)       9d
networking                  pod/external-dns-unifi-6fb5745878-v2flv                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-v58bp                               0/2     Error                         0                 9d
networking                  pod/external-dns-unifi-6fb5745878-v9slw                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-vn5jv                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-vqjds                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-vv9bc                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-vv9dx                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-vxs4g                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-w66gp                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-w75pk                               0/2     ContainerStatusUnknown        5 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-wdzbz                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-wlsrl                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-wq5t9                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-wz5s2                               0/2     ContainerStatusUnknown        4 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-xd6zb                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-xpl2m                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-xpq28                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-z25vh                               0/2     ContainerStatusUnknown        3 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-zr8hn                               0/2     ContainerStatusUnknown        6 (9d ago)        9d
networking                  pod/external-dns-unifi-6fb5745878-zttz8                               0/2     ContainerStatusUnknown        2 (9d ago)        9d
networking                  pod/netbird-dashboard-5ff478568d-jdbkc                                1/1     Running                       0                 20h
networking                  pod/netbird-management-6db5995f7b-pddd5                               1/1     Running                       0                 28h
networking                  pod/netbird-relay-6779fb55bc-bclfn                                    1/1     Running                       0                 28h
networking                  pod/netbird-signal-56c44cd79d-txfw9                                   1/1     Running                       0                 28h
networking                  pod/netvisor-daemon-2qf6x                                             0/1     CrashLoopBackOff              674 (2m28s ago)   2d9h
networking                  pod/netvisor-daemon-flj5c                                             0/1     CrashLoopBackOff              674 (95s ago)     2d9h
networking                  pod/netvisor-daemon-jkpsn                                             0/1     CrashLoopBackOff              674 (46s ago)     2d9h
networking                  pod/relay-help                                                        0/1     Pending                       0                 33h
policy-reporter             pod/policy-reporter-668b749675-rhvss                                  1/1     Running                       0                 9h
policy-reporter             pod/policy-reporter-kyverno-plugin-64d84d6c87-5kmj2                   1/1     Running                       0                 34h
policy-reporter             pod/policy-reporter-ui-67bfccfd87-8qb5v                               1/1     Running                       0                 34h
services                    pod/docspell-joex-0                                                   0/1     Pending                       0                 7h5m
services                    pod/docspell-restserver-0                                             0/1     Pending                       0                 7h5m
synology-csi                pod/synology-csi-controller-0                                         4/4     Running                       1 (9h ago)        9h
synology-csi                pod/synology-csi-node-bvgjc                                           2/2     Running                       0                 10h
synology-csi                pod/synology-csi-node-cqrqm                                           2/2     Running                       0                 10h
synology-csi                pod/synology-csi-node-tkd2f                                           2/2     Running                       0                 10h
test                        pod/farmos-5ff7578cb4-4f7z2                                           0/2     Completed                     0                 8d
test                        pod/farmos-5ff7578cb4-ck9h8                                           0/2     Completed                     0                 12d
test                        pod/farmos-5ff7578cb4-fvknk                                           2/2     Running                       4 (46h ago)       8d
tools                       pod/headlamp-69b498876b-5z2b8                                         1/1     Running                       2 (46h ago)       8d
tools                       pod/it-tools-5f5fcbf6f-mrjsm                                          1/1     Running                       1 (46h ago)       8d
tools                       pod/reloader-reloader-5cdb6cf77c-5r7pz                                1/1     Running                       0                 21h
tools                       pod/renovate-29481120-px7qk                                           0/1     Completed                     0                 14h
tools                       pod/renovate-29481480-q4hz2                                           0/1     Completed                     0                 8h
tools                       pod/renovate-29481840-skppw                                           0/1     Completed                     0                 128m
tools                       pod/stirling-pdf-stirling-pdf-chart-6f9cd646cb-g7tfh                  1/1     Running                       3 (46h ago)       8d
traefik                     pod/traefik-555fd9bdb8-krtzl                                          0/1     ContainerStatusUnknown        64 (12d ago)      14d
traefik                     pod/traefik-74849ffd98-4thh6                                          0/1     ContainerStatusUnknown        3 (8d ago)        8d
traefik                     pod/traefik-74849ffd98-bc8rl                                          0/1     ContainerStatusUnknown        2 (8d ago)        8d
traefik                     pod/traefik-74849ffd98-c47st                                          0/1     ContainerStatusUnknown        13 (8d ago)       8d
traefik                     pod/traefik-74849ffd98-dfxww                                          0/1     Completed                     22                10d
traefik                     pod/traefik-74849ffd98-jnkh7                                          0/1     ContainerStatusUnknown        15 (9d ago)       9d
traefik                     pod/traefik-74849ffd98-kh9kg                                          1/1     Running                       5 (46h ago)       8d
traefik                     pod/traefik-74849ffd98-njx2c                                          0/1     ContainerStatusUnknown        5 (8d ago)        8d
traefik                     pod/traefik-74849ffd98-wnp6l                                          0/1     ContainerStatusUnknown        11 (8d ago)       9d
vpa                         pod/vpa-vertical-pod-autoscaler-admission-controller-7799b968b8n7g9   0/1     ContainerStatusUnknown        2 (12d ago)       12d
vpa                         pod/vpa-vertical-pod-autoscaler-admission-controller-7799b968bt45gj   1/1     Running                       2 (46h ago)       8d
vpa                         pod/vpa-vertical-pod-autoscaler-admission-controller-7799b968bw2cwq   0/1     ContainerStatusUnknown        26 (12d ago)      18d
vpa                         pod/vpa-vertical-pod-autoscaler-admission-controller-7799b968bxdnhk   0/1     Error                         0                 12d
vpa                         pod/vpa-vertical-pod-autoscaler-recommender-7d79db695b-fl8tq          0/1     ContainerStatusUnknown        2 (9d ago)        9d
vpa                         pod/vpa-vertical-pod-autoscaler-recommender-7d79db695b-rm8p2          0/1     ContainerStatusUnknown        1 (9d ago)        9d
vpa                         pod/vpa-vertical-pod-autoscaler-recommender-7d79db695b-vbm8z          0/1     ContainerStatusUnknown        9 (9d ago)        14d
vpa                         pod/vpa-vertical-pod-autoscaler-recommender-7d79db695b-xpttf          1/1     Running                       5 (46h ago)       9d
vpa                         pod/vpa-vertical-pod-autoscaler-recommender-7d79db695b-xqznc          0/1     ContainerStatusUnknown        1 (9d ago)        9d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-97t8f              0/1     ContainerStatusUnknown        1 (12d ago)       12d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-dc4mz              0/1     ContainerStatusUnknown        3                 9d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-hkn28              0/1     ContainerStatusUnknown        46 (12d ago)      14d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-kg44m              0/1     ContainerStatusUnknown        6 (9d ago)        9d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-kpn5n              0/1     ContainerStatusUnknown        1 (9d ago)        12d
vpa                         pod/vpa-vertical-pod-autoscaler-updater-68bc94c8c5-pkttb              1/1     Running                       13 (46h ago)      9d
whoami                      pod/whoami-6d988b7d94-p5ln9                                           1/1     Running                       0                 117m

NAMESPACE                   NAME                                                               TYPE           CLUSTER-IP       EXTERNAL-IP      PORT(S)                                                                                                                           AGE
99-test                     service/vikunja                                                    ClusterIP      10.104.99.173    <none>           80/TCP                                                                                                                            2d9h
argocd                      service/argocd-applicationset-controller                           ClusterIP      10.104.11.218    <none>           7000/TCP                                                                                                                          26d
argocd                      service/argocd-redis                                               ClusterIP      10.103.21.170    <none>           6379/TCP                                                                                                                          26d
argocd                      service/argocd-repo-server                                         ClusterIP      10.96.198.232    <none>           8081/TCP                                                                                                                          26d
argocd                      service/argocd-server                                              LoadBalancer   10.98.72.182     192.168.208.71   80:30107/TCP,443:32364/TCP                                                                                                        26d
auth                        service/authentik                                                  ClusterIP      10.96.159.12     <none>           9000/TCP                                                                                                                          6h35m
birdnet-go                  service/birdnet-go-svc                                             ClusterIP      10.111.150.120   <none>           8080/TCP                                                                                                                          26d
cert-manager                service/cert-manager                                               ClusterIP      10.101.235.212   <none>           9402/TCP                                                                                                                          24d
cert-manager                service/cert-manager-webhook                                       ClusterIP      10.102.175.22    <none>           443/TCP                                                                                                                           24d
cert-manager                service/cert-manager-webhook-gandi                                 ClusterIP      10.111.154.68    <none>           443/TCP                                                                                                                           24d
cnpg-system                 service/cnpg-webhook-service                                       ClusterIP      10.110.141.26    <none>           443/TCP                                                                                                                           25d
contacts                    service/contacts-svc                                               ClusterIP      10.111.75.149    <none>           80/TCP                                                                                                                            2d9h
databases                   service/mariadb-shared                                             ClusterIP      10.97.233.76     <none>           3306/TCP                                                                                                                          7d14h
databases                   service/postgresql-shared-r                                        ClusterIP      10.101.49.211    <none>           5432/TCP                                                                                                                          7d14h
databases                   service/postgresql-shared-ro                                       ClusterIP      10.107.193.251   <none>           5432/TCP                                                                                                                          7d14h
databases                   service/postgresql-shared-rw                                       ClusterIP      10.111.91.189    <none>           5432/TCP                                                                                                                          7d14h
databases                   service/redis-shared                                               ClusterIP      10.103.89.2      <none>           6379/TCP                                                                                                                          7d14h
default                     service/kubernetes                                                 ClusterIP      10.96.0.1        <none>           443/TCP                                                                                                                           26d
default                     service/netbird-relay                                              ClusterIP      10.104.48.86     <none>           33080/TCP                                                                                                                         3d11h
default                     service/netbird-signal                                             ClusterIP      10.104.19.214    <none>           80/TCP                                                                                                                            3d11h
downloads                   service/pyload                                                     ClusterIP      10.103.29.108    <none>           8000/TCP                                                                                                                          7h3m
homeassistant               service/homeassistant-nodeport                                     NodePort       10.103.69.69     <none>           8123:30812/TCP                                                                                                                    8d
homeassistant               service/homeassistant-svc                                          ClusterIP      10.101.220.65    <none>           8123/TCP,5683/UDP,8080/TCP                                                                                                        8d
infisical-operator-system   service/infisical-opera-controller-manager-metrics-service         ClusterIP      10.101.244.106   <none>           8443/TCP                                                                                                                          26d
kube-system                 service/cilium-envoy                                               ClusterIP      None             <none>           9964/TCP                                                                                                                          26d
kube-system                 service/hubble-metrics                                             ClusterIP      None             <none>           9965/TCP                                                                                                                          26d
kube-system                 service/hubble-peer                                                ClusterIP      10.110.36.6      <none>           443/TCP                                                                                                                           26d
kube-system                 service/hubble-relay                                               ClusterIP      10.100.217.59    <none>           80/TCP                                                                                                                            26d
kube-system                 service/kube-dns                                                   ClusterIP      10.96.0.10       <none>           53/UDP,53/TCP,9153/TCP                                                                                                            26d
kube-system                 service/metrics-server                                             ClusterIP      10.106.190.9     <none>           443/TCP                                                                                                                           24d
kubernetes-dashboard        service/kubernetes-dashboard-api                                   ClusterIP      10.104.77.182    <none>           8000/TCP                                                                                                                          12d
kubernetes-dashboard        service/kubernetes-dashboard-auth                                  ClusterIP      10.107.99.151    <none>           8000/TCP                                                                                                                          12d
kubernetes-dashboard        service/kubernetes-dashboard-kong-proxy                            ClusterIP      10.100.69.234    <none>           80/TCP                                                                                                                            12d
kubernetes-dashboard        service/kubernetes-dashboard-metrics-scraper                       ClusterIP      10.104.98.128    <none>           8000/TCP                                                                                                                          12d
kubernetes-dashboard        service/kubernetes-dashboard-web                                   ClusterIP      10.102.117.105   <none>           8000/TCP                                                                                                                          12d
kyverno                     service/kyverno-background-controller-metrics                      ClusterIP      10.107.130.154   <none>           8000/TCP                                                                                                                          34h
kyverno                     service/kyverno-cleanup-controller                                 ClusterIP      10.104.101.251   <none>           443/TCP                                                                                                                           34h
kyverno                     service/kyverno-cleanup-controller-metrics                         ClusterIP      10.108.109.73    <none>           8000/TCP                                                                                                                          34h
kyverno                     service/kyverno-reports-controller-metrics                         ClusterIP      10.97.58.246     <none>           8000/TCP                                                                                                                          34h
kyverno                     service/kyverno-svc                                                ClusterIP      10.107.159.63    <none>           443/TCP                                                                                                                           34h
kyverno                     service/kyverno-svc-metrics                                        ClusterIP      10.109.241.135   <none>           8000/TCP                                                                                                                          34h
mail-gateway                service/mail-gateway-svc                                           ClusterIP      10.100.109.228   <none>           80/TCP                                                                                                                            8d
mealie                      service/mealie                                                     ClusterIP      10.104.117.75    <none>           9000/TCP                                                                                                                          2d9h
media                       service/amule                                                      ClusterIP      10.99.122.80     <none>           4711/TCP,4662/TCP,4665/UDP,4672/UDP                                                                                               2d9h
media                       service/booklore                                                   ClusterIP      10.106.46.207    <none>           6060/TCP                                                                                                                          26d
media                       service/booklore-mariadb                                           ClusterIP      10.100.103.65    <none>           3306/TCP                                                                                                                          26d
media                       service/frigate                                                    ClusterIP      10.96.169.164    <none>           5000/TCP,1935/TCP,8554/TCP,8555/TCP                                                                                               8d
media                       service/hydrus-client                                              ClusterIP      10.107.169.210   <none>           5800/TCP                                                                                                                          15d
media                       service/jellyfin                                                   ClusterIP      10.103.24.96     <none>           8096/TCP                                                                                                                          8d
media                       service/jellyseerr                                                 ClusterIP      10.105.31.148    <none>           5055/TCP                                                                                                                          8d
media                       service/lazylibrarian                                              ClusterIP      10.103.101.57    <none>           5299/TCP                                                                                                                          26d
media                       service/lidarr                                                     ClusterIP      10.99.199.131    <none>           8686/TCP                                                                                                                          25d
media                       service/music-assistant                                            ClusterIP      10.104.199.117   <none>           8095/TCP                                                                                                                          8d
media                       service/mylar                                                      ClusterIP      10.104.165.195   <none>           8090/TCP                                                                                                                          26d
media                       service/prowlarr                                                   ClusterIP      10.105.176.85    <none>           9696/TCP                                                                                                                          26d
media                       service/qbittorrent                                                ClusterIP      10.106.179.115   <none>           8080/TCP,6881/TCP,6881/UDP                                                                                                        2d9h
media                       service/radarr                                                     ClusterIP      10.98.97.144     <none>           7878/TCP                                                                                                                          26d
media                       service/sabnzbd                                                    ClusterIP      10.98.130.189    <none>           8080/TCP                                                                                                                          26d
media                       service/sonarr                                                     ClusterIP      10.105.215.49    <none>           8989/TCP                                                                                                                          26d
media                       service/whisparr                                                   ClusterIP      10.104.211.254   <none>           6969/TCP                                                                                                                          26d
monitoring                  service/goldilocks-dashboard                                       ClusterIP      10.103.253.136   <none>           80/TCP                                                                                                                            2d9h
monitoring                  service/grafana                                                    ClusterIP      10.102.10.167    <none>           80/TCP                                                                                                                            2d9h
monitoring                  service/hubble-ui                                                  ClusterIP      10.111.35.42     <none>           80/TCP                                                                                                                            8d
monitoring                  service/loki                                                       ClusterIP      10.97.78.98      <none>           3100/TCP,9095/TCP                                                                                                                 2d9h
monitoring                  service/loki-headless                                              ClusterIP      None             <none>           3100/TCP,9095/TCP                                                                                                                 2d9h
monitoring                  service/prometheus-alertmanager                                    ClusterIP      10.96.215.92     <none>           9093/TCP                                                                                                                          8d
monitoring                  service/prometheus-alertmanager-headless                           ClusterIP      None             <none>           9093/TCP                                                                                                                          8d
monitoring                  service/prometheus-kube-state-metrics                              ClusterIP      10.108.220.48    <none>           8080/TCP                                                                                                                          8d
monitoring                  service/prometheus-prometheus-node-exporter                        ClusterIP      10.110.188.57    <none>           9100/TCP                                                                                                                          8d
monitoring                  service/prometheus-server                                          ClusterIP      10.105.197.7     <none>           80/TCP                                                                                                                            8d
monitoring                  service/promtail                                                   ClusterIP      10.97.121.255    <none>           9080/TCP                                                                                                                          2d9h
mosquitto                   service/mosquitto                                                  ClusterIP      10.98.186.14     <none>           1883/TCP                                                                                                                          2d9h
networking                  service/adguard-home                                               ClusterIP      10.103.86.208    <none>           80/TCP,3000/TCP,53/TCP,53/UDP                                                                                                     8d
networking                  service/external-dns-unifi                                         ClusterIP      10.111.95.143    <none>           7979/TCP                                                                                                                          9d
networking                  service/netbird-dashboard                                          ClusterIP      10.102.2.69      <none>           80/TCP                                                                                                                            7d19h
networking                  service/netbird-management                                         LoadBalancer   10.108.31.137    192.168.208.72   80:32184/TCP,33073:30416/TCP                                                                                                      7d19h
networking                  service/netbird-relay                                              ClusterIP      10.97.252.184    <none>           33080/TCP                                                                                                                         7d19h
networking                  service/netbird-signal                                             ClusterIP      10.106.196.219   <none>           80/TCP                                                                                                                            7d19h
networking                  service/netvisor-server                                            ClusterIP      10.102.126.224   <none>           60072/TCP                                                                                                                         2d9h
policy-reporter             service/policy-reporter                                            ClusterIP      10.103.231.156   <none>           8080/TCP                                                                                                                          34h
policy-reporter             service/policy-reporter-kyverno-plugin                             ClusterIP      10.101.71.195    <none>           8080/TCP                                                                                                                          34h
policy-reporter             service/policy-reporter-ui                                         ClusterIP      10.108.50.149    <none>           8080/TCP                                                                                                                          34h
services                    service/docspell-joex                                              ClusterIP      None             <none>           7878/TCP                                                                                                                          7h5m
services                    service/docspell-restserver                                        ClusterIP      10.102.74.134    <none>           7880/TCP                                                                                                                          7h5m
services                    service/gluetun                                                    ClusterIP      10.111.115.191   <none>           8888/TCP,1080/TCP                                                                                                                 6h36m
services                    service/vaultwarden                                                ClusterIP      10.101.12.99     <none>           80/TCP                                                                                                                            6h35m
test                        service/farmos                                                     ClusterIP      10.109.146.175   <none>           80/TCP                                                                                                                            17d
tools                       service/changedetection                                            ClusterIP      10.99.224.231    <none>           5000/TCP                                                                                                                          8d
tools                       service/headlamp                                                   ClusterIP      10.96.231.143    <none>           80/TCP                                                                                                                            8d
tools                       service/homepage                                                   ClusterIP      10.109.196.77    <none>           80/TCP                                                                                                                            8d
tools                       service/it-tools                                                   ClusterIP      10.102.13.14     <none>           8080/TCP                                                                                                                          8d
tools                       service/linkwarden                                                 ClusterIP      10.96.85.119     <none>           3000/TCP                                                                                                                          2d9h
tools                       service/netbox                                                     ClusterIP      10.98.19.11      <none>           8080/TCP                                                                                                                          8d
tools                       service/nocodb                                                     ClusterIP      10.103.4.12      <none>           80/TCP                                                                                                                            2d9h
tools                       service/stirling-pdf-stirling-pdf-chart                            ClusterIP      10.99.67.253     <none>           8080/TCP                                                                                                                          8d
traefik                     service/traefik                                                    LoadBalancer   10.101.90.165    192.168.208.70   53:32002/TCP,53:32002/UDP,5000:30798/TCP,8554:31718/TCP,8555:30402/TCP,1883:31350/TCP,80:31198/TCP,443:30936/TCP,5683:31991/UDP   25d
traefik                     service/traefik-internal                                           ClusterIP      10.105.199.222   <none>           9000/TCP                                                                                                                          24d
vpa                         service/vpa-vertical-pod-autoscaler-admission-controller-metrics   ClusterIP      10.102.44.133    <none>           8944/TCP                                                                                                                          19d
vpa                         service/vpa-vertical-pod-autoscaler-recommender-metrics            ClusterIP      10.98.22.11      <none>           8942/TCP                                                                                                                          19d
vpa                         service/vpa-vertical-pod-autoscaler-updater-metrics                ClusterIP      10.101.127.152   <none>           8943/TCP                                                                                                                          19d
